ID,CountDate,TreatyA8,TreatyA78C,TreatyA78D2,TreatyA78D3,TreatyA78D478O,TreatyA78D5,SportA78D2,SportA78D478O,BakerTrap,Comment
16832,6/1/1992,0,0,0,0,0,0,0,0,0,
16833,6/2/1992,0,0,0,0,0,0,0,0,0,
16834,6/3/1992,0,0,0,0,0,0,0,0,0,
16835,6/4/1992,0,0,0,0,0,0,0,0,0,
16836,6/5/1992,0,0,0,0,0,0,0,0,0,
16837,6/6/1992,0,0,0,0,0,0,0,0,0,
16838,6/7/1992,0,0,0,0,0,0,0,0,0,
16839,6/8/1992,0,0,0,0,0,0,0,0,0,
16840,6/9/1992,0,0,0,0,0,0,0,0,0,
16841,6/10/1992,0,0,0,0,0,0,0,0,0,
16842,6/11/1992,0,0,0,0,0,0,0,0,0,
16843,6/12/1992,0,0,0,0,0,0,0,0,0,
16844,6/13/1992,0,0,0,0,0,0,0,0,0,
16845,6/14/1992,0,0,0,0,0,0,0,0,0,
16846,6/15/1992,0,0,0,0,0,0,0,0,0,
16847,6/16/1992,0,0,0,0,0,0,0,0,0,
16848,6/17/1992,0,0,0,0,0,0,0,0,0,
16849,6/18/1992,0,0,0,0,0,0,0,0,0,
16850,6/19/1992,0,0,0,0,0,0,0,0,0,
16851,6/20/1992,0,0,0,0,0,0,0,0,0,
16852,6/21/1992,0,0,0,0,0,0,0,0,0,
16853,6/22/1992,0,0,0,0,0,0,0,0,0,
16854,6/23/1992,0,7,0,0,0,0,0,0,0,
16855,6/24/1992,0,0,0,0,0,0,0,0,31,
16856,6/25/1992,0,0,0,0,0,0,0,0,0,
16857,6/26/1992,0,0,0,0,0,0,0,0,31,
16858,6/27/1992,0,0,0,0,0,0,0,0,0,
16859,6/28/1992,0,0,0,0,0,0,0,0,0,
16860,6/29/1992,0,0,0,0,0,0,0,0,66,
16861,6/30/1992,0,0,0,0,0,0,0,0,62,
16862,7/1/1992,0,0,0,0,0,0,0,4,60,
16863,7/2/1992,0,4,0,0,0,0,0,2,60,
16864,7/3/1992,0,0,0,0,0,0,0,1,0,
16865,7/4/1992,0,0,0,0,0,0,0,1,97,
16866,7/5/1992,0,0,0,0,0,0,0,1,0,
16867,7/6/1992,0,1,0,0,0,0,0,1,95,
16868,7/7/1992,0,4,0,0,0,0,0,1,95,
16869,7/8/1992,0,1,0,0,0,0,0,1,50,
16870,7/9/1992,0,2,0,0,0,0,0,1,118,
16871,7/10/1992,0,0,0,0,0,0,0,1,74,
16872,7/11/1992,0,0,0,0,0,0,0,1,0,
16873,7/12/1992,0,0,0,0,0,0,0,1,0,
16874,7/13/1992,0,0,1,0,0,0,0,1,221,
16875,7/14/1992,0,9,2,0,2,0,0,1,127,
16876,7/15/1992,0,2,4,0,0,0,0,1,86,
16877,7/16/1992,0,1,0,0,0,0,0,1,171,
16878,7/17/1992,0,0,0,0,0,0,0,1,145,
16879,7/18/1992,0,0,0,0,0,0,0,0,0,
16880,7/19/1992,0,0,0,0,0,0,0,0,0,
16881,7/20/1992,0,0,2,0,1,0,0,0,363,
16882,7/21/1992,0,1,7,0,2,0,0,0,75,
16883,7/22/1992,0,0,1,0,0,0,0,0,14,
16884,7/23/1992,0,0,0,0,0,0,0,0,75,
16885,7/24/1992,0,0,0,0,0,0,0,0,41,
16886,7/25/1992,0,0,0,0,0,0,0,0,0,
16887,7/26/1992,0,0,0,0,0,0,0,0,0,
16888,7/27/1992,0,1,0,0,0,0,0,0,60,
16889,7/28/1992,0,0,0,0,0,0,0,0,19,
16890,7/29/1992,0,0,0,0,0,0,0,0,19,
16891,7/30/1992,0,0,0,0,0,0,0,0,9,
16892,7/31/1992,0,0,0,0,0,0,0,0,10,
16893,8/1/1992,0,0,0,0,0,0,0,0,0,
16894,8/2/1992,0,0,0,0,0,0,0,0,0,
16895,8/3/1992,0,0,0,0,0,0,0,0,36,
16896,8/4/1992,0,0,0,0,0,0,0,0,0,
16897,8/5/1992,0,0,0,0,0,0,0,0,10,
16898,8/6/1992,0,0,0,0,0,0,0,0,0,
16899,8/7/1992,0,0,0,0,0,0,0,0,5,
16900,8/8/1992,0,0,0,0,0,0,0,0,0,
16901,8/9/1992,0,0,0,0,0,0,0,0,0,
16902,8/10/1992,0,0,0,0,0,0,0,0,12,
16903,8/11/1992,0,0,0,0,0,0,0,0,8,
16904,8/12/1992,0,2,0,0,0,0,0,0,0,
16905,8/13/1992,0,0,0,0,0,0,0,0,5,
16906,8/14/1992,0,0,0,0,0,0,0,0,2,
16907,8/15/1992,0,0,0,0,0,0,0,0,0,
16908,8/16/1992,0,0,0,0,0,0,0,0,0,
16909,8/17/1992,0,0,0,0,0,0,0,0,0,
16910,8/18/1992,0,0,0,0,0,0,0,0,0,
16911,8/19/1992,0,0,0,0,0,0,0,0,4,
16912,8/20/1992,0,0,0,0,0,0,0,0,0,
16913,8/21/1992,0,0,0,0,0,0,0,0,0,
16914,8/22/1992,0,0,0,0,0,0,0,0,0,
16915,8/23/1992,0,0,0,0,0,0,0,0,0,
16916,8/24/1992,0,0,0,0,0,0,0,0,0,
16917,8/25/1992,0,0,0,0,0,0,0,0,0,
16918,8/26/1992,0,0,0,0,0,0,0,0,21,
16919,8/27/1992,0,0,0,0,0,0,0,0,0,
16920,8/28/1992,0,0,0,0,0,0,0,0,5,
16921,8/29/1992,0,0,0,0,0,0,0,0,0,
