year,species,period,abundance,lag1_log_JackOPI,lag1_log_SmAdj,lag1_NPGO,lag1_PDO,WSST_A,PDO.MJJ,MEI.OND,UWI.JAS,SST.AMJ,SSH.AMJ,UWI.SON
1970,Coho,1,2765.1,5.088830141681313,0,-0.387628509,-8.333333333331432e-5,0.21254043089421382,-0.247,0.355,34.699,11.974,-38.467,-34.01
1971,Coho,1,3365,5.1896179496246955,0,0.061043153833333336,-0.11741666666666668,-0.8014591504427817,-0.33025,-1.305,41.414,10.884,-153.033,-31.811
1972,Coho,1,1924.8,4.641502115235482,0,0.3819842706666667,-0.9721666666666666,-1.1353811193796872,-0.49775,-1.59,28.958,11.685,-71.833,-16.047
1973,Coho,1,1817,4.515245478460105,0.26794431726042545,-0.6593037258333333,-0.7555000000000001,-1.0541626383158484,-0.82425,1.44,33.791,11.854,-64.733,-8.15
1974,Coho,1,3071.1,4.970507503005476,0.4968465114210693,0.12658556441666666,-0.6501666666666667,-0.7638243008944365,-1.08175,-1.8,41.151,12.245,-157.533,-19.501
1975,Coho,1,1652.8,4.333361462692601,0.27863358443677994,-0.009310216616666674,-0.07425,-0.1969247628542834,-1.045,-1.37,33.195,10.935,-77.833,-8.792
1976,Coho,1,3885.3,5.144583266605995,0.3437914170562537,0.7985005366666666,-0.9430833333333334,-0.6289377976748289,-0.81825,-2.095,38.461,10.826,-154.433,-38.994
1977,Coho,1,987.5,3.9852734671677386,0.02654077481724698,1.8632113499999998,0.009416666666666684,0.5201389025357552,-0.52425,0.495,22.623,10.688,-116,-7.941
1978,Coho,1,1824.1,4.636668853047462,0,1.2492703408333334,0.33108333333333334,-0.10491772187679516,-0.25575,0.745,30.152,11.203,-139.733,-34.772
1979,Coho,1,1476.7,4.283586561860629,0.638104963792427,0.5044666358333334,0.3799166666666667,-0.5506594945284704,-0.21575,-0.15,16.884,11.579,-90.367,-5.59
1980,Coho,1,1224,4.053522567701846,0.9142420486389747,-0.737188575,0.4359166666666667,0.6549445818570212,0.17425,0.38,24.025,11.22,-94.833,-58.734
1981,Coho,1,1064.5,3.885679030088544,0.7381174794663005,-0.7491072758333334,0.5624166666666667,0.1528227757123295,0.33675,0.03,48.084,12.06,-67.033,-42.722
1982,Coho,1,1266.8,4.115779842942166,0.8384574049101785,-0.22184056224166668,0.9896666666666667,-0.13210220826595886,0.61675,-0.16,28.803,12.155,-84,-54.105
1983,Coho,1,NA,4.222444564849416,0.7393658029088689,-0.6866913808333334,0.09325,0.06860320078403115,0.5675,2.105,28.851,10.981,-70.733,-42.966
1984,Coho,1,691.3,3.4531571205928664,0.6294164074775385,-0.09206469425,1.2297500000000001,0.22128526674776872,1.03175,-0.43,26.438,12.136,-6.433,-46.615
1985,Coho,1,717.5,3.258096538021482,0.901124112837987,0.6207500366666667,0.7095833333333333,-0.26441069138973106,1.03925,-0.365,38.115,11.427,-64.2,-52.444
1986,Coho,1,2412,4.350277936359301,1.7657019379034853,-0.39390104708333334,0.3165,-1.1164855529162199,0.78675,-0.02,36.911,10.953,-80.833,-12.172
1987,Coho,1,779.4,3.493472657771326,0.8716466169745827,-0.7328472883333333,1.2018333333333333,-0.08293838990659097,1.1375,0.61,38.461,11.509,-81.867,-19.717
1988,Coho,1,1467.8,4.44500143383527,1.144525895644734,0.42917472916666666,1.361,0.2858534287121888,0.88075,0.99,36.069,11.426,-79.567,-34.078
1989,Coho,1,1922,4.107589788972121,0.9780609808025015,1.3236367633333335,0.19108333333333333,-0.31543488992184,0.9875,-1.575,42.693,11.487,-61.467,-20.229
1990,Coho,1,713.6,3.8437441646748516,1.0376940622200612,0.6122406166666666,-0.29050000000000004,0.12093989359410218,1.0215,-0.445,35.529,11.618,-63.433,-4.817
