"Stock","year","abundance","Age4","Jack"
"Summer_Chinook",1989,NA,NA,3197
"Summer_Chinook",1990,18796,7869,2699
"Summer_Chinook",1991,14325,4450,2569
"Summer_Chinook",1992,9413,5310,3862
"Summer_Chinook",1993,14010,7495,1405
"Summer_Chinook",1994,14668,5809,1673
"Summer_Chinook",1995,12448,3736,1634
"Summer_Chinook",1996,12050,7565,1335
"Summer_Chinook",1997,17703,14057,1828
"Summer_Chinook",1998,15516,5423,2293
"Summer_Chinook",1999,21824,10816,2905
"Summer_Chinook",2000,22595,12053,10450
"Summer_Chinook",2001,52906,42226,11840
"Summer_Chinook",2002,89523,48671,6141
"Summer_Chinook",2003,83073,31185,10058
"Summer_Chinook",2004,65775,24729,9501
"Summer_Chinook",2005,60272,35162,3439
"Summer_Chinook",2006,77573,28539,3407
"Summer_Chinook",2007,37035,12703,10053
"Summer_Chinook",2008,55533,42871,6821
"Summer_Chinook",2009,53878,29094,22264
"Summer_Chinook",2010,72407,57086,11957
"Summer_Chinook",2011,80532,32613,35359
"Summer_Chinook",2012,58300,48534,9608
"Summer_Chinook",2013,67552,35338,17211
"Summer_Chinook",2014,78255,32065,19028
"Summer_Chinook",2015,126882,77721,12906
"Summer_Chinook",2016,91047,24089,7960
"Summer_Chinook",2017,68205,28758,7066
"Summer_Chinook",2018,42120,28440,3242
"Summer_Chinook",2019,34556,18966,6521
"Summer_Chinook",2020,65466,50532,8874
"Summer_Chinook",2021,56800,29912,9686
"Summer_Chinook",2022,78444,53561,10777
