"...1","year","period","predicted_abundance","arma","aicc","Lo 50","Hi 50","Lo 95","Hi 95","model","abundance","error","APE","MAPE","rank"
1,1993,1,32835.7989531653,"0000200",-22.2803883550577,28588.7028988715,37713.8374100649,21955.9270685347,49106.9991955776,"1",223.3,-32612.4989531653,146.047912911622,NA,1
8,1994,1,5864.91641027165,"1000200",-33.498004581756,4509.0878334824,7628.42636243536,2732.07225081116,12590.166489653,"1",214.1,-5650.81641027165,26.3933508186439,NA,1
15,1995,1,13509.9788017694,"0000200",29.0962450312928,11144.3924770738,16377.7009468877,7722.01946466624,23636.242832515,"1",139.4,-13370.5788017694,95.9151994388049,NA,1
23,1996,1,13095.0981132279,"0000200",15.9275569249943,11067.9765074352,15493.4910170679,8032.74833862734,21347.8111557979,"1",176.5,-12918.5981132279,73.1931904432176,NA,1
32,1997,1,12448.178998941,"0000200",10.6433450626823,10693.4696193324,14490.8215860578,8004.92311623137,19357.7325028235,"1",195.6,-12252.578998941,62.6409969271012,NA,1
41,1998,1,13905.2511415633,"0000200",9.38584596077078,11848.7035340081,16318.7481866669,8733.7190216695,22139.0233450614,"1",228.3,-13676.9511415633,59.9078017589282,NA,1
50,1999,1,14032.595257776,"0000200",7.07383696953892,12072.4686892399,16310.974560163,9062.84192760963,21727.591768832,"1",372.5,-13660.095257776,36.6713966651705,NA,1
59,2000,1,14728.3588535222,"0000200",8.86757741052489,12395.688794476,17500.0000495977,8923.88174706035,24308.317912167,"1",673.1,-14055.2588535222,20.8813829349609,NA,1
68,2001,1,25054.8314197366,"0000210",7.66394594813082,20726.3008968981,30287.3426664076,14439.0221794271,43475.5601640284,"1",1478.7,-23576.1314197366,15.9438232364486,NA,1
80,2002,1,55517.3162305278,"0000210",10.0985973069338,44957.4897362914,68557.4844040364,30072.9574540579,102489.833470786,"1",689.5,-54827.8162305278,79.5182251349207,NA,1
92,2003,1,68634.6923910843,"0000210",11.8114633160505,54899.5113179456,85806.2464770779,35871.419647698,131322.402232304,"1",1009.9,-67624.7923910843,66.9618698792794,NA,1
104,2004,1,99697.6804599317,"0000210",11.5187103294437,80280.7978876868,123810.771076244,53127.8482726053,187088.839700212,"1",693.6,-99004.0804599317,142.73944702989,NA,1
116,2005,1,64601.0286240298,"0000210",12.580125395034,51775.4924559258,80603.635066055,33958.1003319144,122895.358058666,"1",454,-64147.0286240298,141.293014590374,NA,1
129,2006,1,43666.3408640919,"0000210",12.0407015829145,35267.0361550995,54066.0495561193,23471.9193462819,81235.3389737213,"1",523.4,-43142.9408640919,82.4282400918837,NA,1
143,2007,1,77430.229561443,"0000210",14.1191513079168,61848.8443800167,96936.9841916541,40305.1953944067,148751.057804567,"1",545.3,-76884.929561443,140.995652964319,NA,1
157,2008,1,45906.9201829816,"0000210",18.4043677190098,35731.4156557488,58980.1798224464,22163.6271453736,95085.759513264,"1",576.9,-45330.0201829816,78.5751779909544,7943.54336550376,5
171,2009,1,50742.1117841575,"0000210",18.351762107528,39727.7618700252,64810.142507892,24920.1862602187,103320.331615103,"1",1051,-49691.1117841575,47.2798399468673,7493.72513269931,3
185,2010,1,70629.1021484774,"0000210",18.0571293085101,55670.1716004546,89607.5928434775,35369.756840651,141037.725896004,"1",546.5,-70082.6021484774,128.238979228687,7632.96839355413,4
199,2011,1,62653.986262352,"0000210",17.6920184134148,49697.3307017533,78988.5883030836,31957.6652568993,122835.068300727,"1",454.2,-62199.786262352,136.943606918432,7848.46025882001,7
213,2012,1,101469.21602217,"0000210",17.8318655288291,80716.7019320888,127557.265766587,52188.8453241928,197283.571540929,"1",183.1,-101286.11602217,553.173763092135,8273.46303532145,6
227,2013,1,48109.7348040415,"0000210",19.8202372577362,37999.1682605787,60910.4538037051,24238.356088009,95491.0710326691,"1",335.1,-47774.6348040415,142.568292462076,11543.6814764217,9
241,2014,1,71885.6161739173,"0000210",20.3104787069568,56841.2353811094,90911.8490837929,36333.5732760437,142224.982207047,"1",1316.5,-70569.1161739173,53.603582357704,12094.7514144427,8
